Country,Men
Austria,38
Belgium,36
Switzerland,34
Czechia,36
Germany,37
Denmark,30
Estonia,30
Spain,24
Finland,44
France,32
United Kingdom,36
Greece,20
Hungary,39
Ireland,26
Luxembourg,27
Netherlands,34
Norway,50
Poland,30
Portugal,17
Sweden,44
Slovenia,33
Slovakia,31
Ukraine,35
Mean,33
